Customer_ID,Age,Gender,City,Education,Employment_Status,Experience_Years,Annual_Income,Monthly_Spending,Satisfaction_Score,Online_Hours_Per_Week,Purchased
C0071,57.0,Male,Lahore,Master,Unemployed,16.0,1115000.0,23500.0,5.0,15.3,No
C0282,56.0,Female,Islamabad,Bachelor,Employed,3.0,655000.0,32300.0,7.0,6.8,No
C0284,57.0,Female,Peshawar,Master,Employed,13.0,983000.0,54800.0,7.0,15.1,Yes
C0034,44.0,Female,Karachi,PhD,Employed,22.0,839000.0,29200.0,9.0,8.3,Yes
C0043,20.0,Female,Islamabad,Bachelor,Employed,,979000.0,49300.0,5.0,7.0,No
C0078,35.0,Male,Karachi,Bachelor,Unemployed,14.0,1195000.0,16400.0,7.0,15.7,No
C0138,61.0,Female,Karachi,Bachelor,Employed,22.0,721000.0,28200.0,4.0,28.6,Yes
C0393,66.0,Female,Karachi,PhD,Employed,5.0,1643000.0,48400.0,,4.0,No
C0302,18.0,Other,Karachi,Bachelor,Self-employed,27.0,878000.0,11500.0,6.0,13.6,Yes
C0350,20.0,Male,Lahore,Master,Unemployed,14.0,852000.0,49700.0,7.0,19.3,No
C0365,44.0,Male,Multan,Master,Student,12.0,,44100.0,9.0,19.8,No
C0079,43.0,Female,Multan,Master,Self-employed,17.0,884000.0,35900.0,3.0,14.2,Yes
C0283,35.0,Female,Lahore,Bachelor,Self-employed,28.0,901000.0,25300.0,1.0,27.4,No
C0386,70.0,Male,Peshawar,Bachelor,Employed,4.0,764000.0,29200.0,6.0,10.7,Yes
C0156,32.0,Male,Karachi,High School,Employed,11.0,647000.0,18900.0,8.0,24.4,Yes
C0281,57.0,Female,Islamabad,High School,Employed,6.0,783000.0,46200.0,10.0,33.5,Yes
C0178,49.0,Female,Multan,Master,Employed,23.0,719000.0,32100.0,2.0,14.3,Yes
C0230,54.0,Male,Peshawar,Bachelor,Student,21.0,1359000.0,33900.0,6.0,8.0,No
C0010,40.0,Female,Karachi,Bachelor,Employed,10.0,789000.0,53900.0,6.0,34.9,Yes
C0196,42.0,Female,Multan,Bachelor,Student,14.0,530000.0,58200.0,9.0,9.5,Yes
C0056,43.0,Female,Islamabad,High School,Self-employed,18.0,1467000.0,21800.0,4.0,26.8,Yes
C0399,69.0,Male,Islamabad,Bachelor,Self-employed,17.0,942000.0,45500.0,3.0,19.0,Yes
C0376,36.0,Female,Lahore,Master,Employed,18.0,664000.0,,9.0,23.7,Yes
C0232,34.0,Other,Multan,PhD,Employed,25.0,908000.0,37300.0,9.0,39.5,No
C0279,58.0,Female,Lahore,High School,Self-employed,16.0,811000.0,29600.0,6.0,17.6,Yes
C0357,39.0,Male,Multan,PhD,Employed,15.0,1018000.0,44800.0,5.0,15.8,Yes
C0085,48.0,Male,Islamabad,Master,Employed,13.0,716000.0,62000.0,8.0,20.9,No
C0210,54.0,Female,Islamabad,High School,Employed,3.0,1053000.0,59900.0,6.0,23.5,Yes
C0173,32.0,Other,Peshawar,Master,Unemployed,17.0,689000.0,46100.0,8.0,12.7,Yes
C0016,57.0,Male,Lahore,Bachelor,Employed,7.0,609000.0,,8.0,23.0,No
C0133,,Male,Peshawar,Master,Student,23.0,1335000.0,25700.0,9.0,14.8,Yes
